IssuerSize,NoBonds,OAS,Warf,DWexEurope,Europe,EuropePeriphery,Automotive,BasicIndustry,CapitalGoods,ConsumerGoods,Healthcare,Leisure,Media,Retail,Services,TechnologyElectronics,Telecommunication,Transportation
300.0,1,938.854853573823,3490,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
300.0,1,668.60683814613,940,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
485.0,1,651.388979758774,1350,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
290.0,1,845.643955494175,2720,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
300.0,1,645.796656645598,3490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
330.0,1,573.398997304819,1766,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
350.0,1,564.410362625473,940,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
548.8,1,580.415585394379,940,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
350.0,1,668.434890284078,1766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350.0,1,796.033082603529,1766,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
370.1,1,923.404730935892,2220,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
597.2,1,973.71336987625,3490,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
400.0,1,980.52776433315,940,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
601.0,1,1100.6102735972,1766,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
389.9,1,1006.38114843204,1766,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
554.0,1,760.009436125319,1350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375.0,1,1018.15523668643,3490,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
343.2,1,938.080653538954,1766,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
350.0,1,691.799716941105,1766,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
425.0,1,883.405265738318,3490,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
349.8,1,931.316323656789,2720,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
400.0,1,747.968636276778,940,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
325.0,1,735.676332388458,2220,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
375.0,1,622.188160682952,1350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
375.0,1,628.471879597131,1350,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
390.0,1,765.106356946405,3490,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
400.0,1,610.514821759781,1350,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
400.0,1,528.677334515992,940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
525.0,1,471.9662764426,1350,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
